Title,clean_synopsis
Ice Age,impending ice age almost upon mismatched trio prehistoric critter manny woolly mammoth diego saber toothed tiger sid giant sloth find orphaned infant decide return human parent along way unlikely ally become friend enemy attack quest take far nobler aim
Cast Away,chuck nolan top international manager fedex kelly ph student love heading towards marriage chuck plane malaysia crash sea terrible storm survivor find marooned desolate island way escape chuck must find way survive new home
Idiocracy,test top secret human hibernation project pentagon pick average american find army private prostitute sends year series freak event arrive find civilization dumbed smartest people around
Thunderbolts*,finding ensnared death trap seven disillusioned castoffs must embark dangerous mission force confront darkest corner past
The Phoenician Scheme,wealthy businessman zsa zsa korda appoints daughter nun sole heir estate korda embarks new enterprise soon become target scheming tycoon foreign terrorist determined assassin
Panda Bear in Africa,young adventurous panda travel china africa rescue best friend jielong dragon kidnapped journey discovers strange amazing new world mountain desert jungle
Phineas and Ferb The Movie: Across the 2nd Dimension,phineas ferb get trapped alternate dimension evil doofenshmirtz rule tri state area must find way back home help pet platypus named perry discover secret agent
Mission: Impossible - Ghost Protocol,ethan hunt team racing time track dangerous terrorist named hendricks gained access russian nuclear launch code planning strike united state attempt stop end explosion causing severe destruction kremlin imf implicated bombing forcing president disavow longer aided government ethan team chase hendricks around globe although might still late stop disaster
The Last Stand of Ellen Cole,evil contractor go extreme measure evict testy tenant standing way new project fails take account seemingly harmless old woman trained killer anything protect beloved home
Tinker Bell and the Legend of the NeverBeast,ancient myth massive creature spark curiosity tinker bell good friend fawn animal fairy afraid break rule help animal need creature welcome pixie hollow scout fairy determined capture mysterious beast fear destroy home fawn must convince fairy friend risk everything rescue neverbeast
Fantastic Mr. Fox,fantastic mr fox bored current life plan heist three local farmer farmer tired sharing chicken sly fox seek revenge family
GoldenEye,powerful satellite system fall hand alec trevelyan aka agent former ally turned enemy james bond save world dangerous space weapon one short pulse could destroy earth bond square former compatriot also battle xenia onatopp assassin us pleasure ultimate weapon
The Matrix Reloaded,six month event depicted matrix neo proved good omen free human human freed matrix brought zion one stronghold resistance neo discovered superpower including super speed ability see code thing inside matrix certain degree pre cognition nasty piece news hit human resistance machine sentinel digging zion would reach hour zion prepares ultimate war neo morpheus trinity advised oracle find keymaker would help reach source meanwhile neo recurrent dream depicting trinity death got worried enough agent smith somehow escaped deletion become powerful fixed neo next target
Tomorrowland,bound shared destiny bright optimistic teen bursting scientific curiosity former boy genius inventor jaded disillusionment embark danger filled mission unearth secret enigmatic place somewhere time space exists collective memory tomorrowland
Gladiator II,year witnessing death revered hero maximus hand uncle lucius forced enter colosseum home conquered tyrannical emperor lead rome iron fist rage heart future empire stake lucius must look past find strength honor return glory rome people
Bolt,bolt star biggest show hollywood problem think real accidentally shipped new york city separated penny beloved co star owner bolt must harness super power find way home
Rio,captured smuggler hatchling macaw named blu never learned fly life happily domesticated life minnesota human friend linda blu thought last kind word come jewel lone female life rio de janeiro blu linda go meet animal smuggler kidnap blu jewel pair soon escape begin perilous adventure back freedom linda
Iron Man 2,world aware dual life armored superhero iron man billionaire inventor tony stark face pressure government press public share technology military unwilling let go invention stark pepper potts james rhodey rhodes side must forge new alliance confront powerful enemy
Moana 2,receiving unexpected call wayfinding ancestor moana journey alongside maui new crew far sea oceania dangerous long lost water adventure unlike anything ever faced
Maze Runner: The Scorch Trials,thomas fellow gladers face greatest challenge yet searching clue mysterious powerful organization known wckd journey take scorch desolate landscape filled unimaginable obstacle teaming resistance fighter gladers take wckd vastly superior force uncover shocking plan
Superman,superman journalist metropolis embarks journey reconcile kryptonian heritage human upbringing clark kent
